&Номер КЛАССА&Наименование КЛАССА&Номер БЛОКА&Наименование БЛОКА&КОД&Наименование КОДА 3-х, 4-х и 5-тизначных рубрик 
0&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A00&Холера
1&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A00.0&Холера, вызванная вибрионом 01, биовар cholerae
2&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A00.1&Холера, вызванная вибрионом 01, биовар eltor
3&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A00.9&Холера неуточненная
4&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01&Тиф и паратиф
5&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01.0&Брюшной тиф
6&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01.1&Паратиф А
7&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01.2&Паратиф В
8&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01.3&Паратиф С
9&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A01.4&Паратиф неуточненный
10&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02&Другие сальмонелезные инфекции
11&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02.0&Сальмонеллезный энтерит
12&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02.1&Сальмонеллезная септицемия
13&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02.2&Локализованная сальмонеллезная инфекция
14&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02.8&Другая уточненная сальмонеллезная инфекция
15&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A02.9&Сальмонеллезная инфекция неуточненная
16&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03&Шигелез
17&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.0&Шигеллез, вызванный Shigella dysenteriae
18&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.1&Шигеллез, вызванный Shigella flexneri
